id,author,text,likeCount,publishedAt
"Ugwvph6gXLMPp6DFRDJ4AaABAg","@k.tucker2011","Damn...thank you",0,"2026-05-02T22:41:19Z"
"UgwXWxzwxVWRWZpOlOt4AaABAg","@StephonSteele-v4r","I just don’t care and idk why",0,"2026-05-02T21:38:04Z"
"Ugwi6zxtvwxikCIf6TB4AaABAg","@gregdavies8572","Young, Gen Z crybabies always need reassurance 😆",0,"2026-05-02T20:49:51Z"
"UgzhxTw9MfACCUfLLel4AaABAg","@Gr8nessnMe070","Que all of the people think they’re intimidating and want to flex in the comments! 😂",0,"2026-05-02T20:09:03Z"
"UgxFSa5i_fR7IA_PqwF4AaABAg","@paulajayiolubode3247","❤Bless you",0,"2026-05-02T20:02:33Z"
"Ugwq1EdHzY0uuTTRHkh4AaABAg","@minnow2204","Its called anointed by god 🙏",0,"2026-05-02T19:33:49Z"
"UgwMfYRJvAGV-F0h9G94AaABAg","@michellegarza1364","I felt every one of these.",0,"2026-05-02T18:20:29Z"
"Ugzk-K0W4owSZUoJjt14AaABAg","@brandondiggs7256","9/4 The Biggest Virgo ♍♍♍  This Video is Talking About Virgos lol",0,"2026-05-02T17:54:16Z"
"UgxfKuG8SXCbXix_pTd4AaABAg","@TheRegisteringisgay","I feel like the algorithm is actually tailor making videos to make me feel better for being a weirdo. Its unsettling",0,"2026-05-02T17:48:51Z"
"UgyEIQKKX-MsioODlW54AaABAg","@edgaralanbetanzos4555","All of them. 😔",0,"2026-05-02T16:25:01Z"
"Ugw72icTRYXl417p4WF4AaABAg","@Zackpilgram","All my life people have had extremely adverse reactions to seemingly benign things that I say or do and I’ve never figured out why   After this video I’m kind of wondering if this is why",0,"2026-05-02T16:15:57Z"
"Ugz1pcF_tmD02UOOg0x4AaABAg","@SocialistDistancing","I don't have time to pretend or protect delicate Egos.  I have a job to get done.",0,"2026-05-02T14:54:36Z"
"UgzF4dqUgyzUVx3uc0R4AaABAg","@xMrBlack","The long explanations are so annoying. I just want a simple answer, yes or no, that's it.",0,"2026-05-02T14:45:41Z"
"UgxcxveDXpRRh4EIzdh4AaABAg","@seanolsen4678","spot on thx",0,"2026-05-02T12:06:52Z"
"Ugw0nXmChNQGnFv6gVp4AaABAg","@johncook3817","People need to stop being so wet by the sound of it!",0,"2026-05-02T10:29:28Z"
"UgxW5NxqjqXbKX1Xz2d4AaABAg","@SpiritJellyfish1","This is just bs. Just a bunch of people wanting to feel big and bad… It’s cringe",0,"2026-05-02T09:52:30Z"
"UgzUSYFj6_zEvnOo_rl4AaABAg","@shelleyhanson9793","# 7...",0,"2026-05-02T08:07:21Z"
"Ugwjdb-TMKohBpb1zep4AaABAg","@aberdeendeltaforce","Just here to read all the strong silent types take the time to write in the comments and tell the world they are the strong silent type. 😂",0,"2026-05-02T08:06:11Z"
"Ugy5bqaN9A4XSDBT6l54AaABAg","@cloudsurfer67","I make eye contact so much I was like maybe I should start looking away like everyone else does 😂 but after seeing this I will continue",0,"2026-05-02T07:33:10Z"
"UgxDZz4luKRmb3SRXdt4AaABAg","@ericbrammer2245","I am NOT, a Thespian, but I Act like one, whence needed.",0,"2026-05-02T04:27:33Z"
"Ugxyex2umDVikF1prHF4AaABAg","@denisern55","I’m comfortable in silence, don’t need approval, sit alone, people explain and I’m not even asking, I can sense others and don’t make friends easy. I could go on, but this is me and I don’t like it.",3,"2026-05-02T01:57:53Z"
"UgwLTtGJx1LUezWoa2B4AaABAg","@GeorgeR-qj4hk","Here.",0,"2026-05-02T01:13:13Z"
"UgxmprOfokeW2eXdi6d4AaABAg","@danielragan6077","All of those hit. I intimidate people all the time. I had no idea being me was the reason.",0,"2026-05-02T00:53:56Z"
"UgyE6DABgIZb2xbS9rJ4AaABAg","@InquisitiveSphere","Oh, I didn’t forget not to pretend lol. I CHOSE.   And you’re quite right. People hate it. 😊",0,"2026-05-01T23:13:04Z"
"UgwIzoEkE_pjhZ_h6td4AaABAg","@csb772","I always wondered why strangers never make the first move in a conversation. I always have to speak first....always.",0,"2026-05-01T21:35:14Z"
"UgxCVeQ-iRnGqV0qWy14AaABAg","@BigBoI-285","All this time!! Damn didn't know!!",0,"2026-05-01T20:40:16Z"
"Ugz142Li_fAj8i2iy9J4AaABAg","@Nonaddictive","thats me at work.",3,"2026-05-01T18:24:15Z"
"UgzaxuYGD5dWqKkyqn14AaABAg","@XGarveyX","You'd be shocked how scared people get with a reasonably firm handshake and eye contact",2,"2026-05-01T18:13:59Z"
"UgylUDEelWhAVEkBizB4AaABAg","@BoxingEncyclopedia","I am an (INFJ-A) personality type and this weirdly resonates with me a lot, I’m an introvert and kind of serious when getting to know people, and one time this pretty girl kept looking at me with a deer in headlights look after I went on an hike with my brother and friends and she was in the group with us, and when we ate afterwards she looked super uncomfortable for some reason when she was sitting in front of me at the table, and we didn’t talk at all to each other she just told me, “oh hey good to see you again, that last time you saw me I’m never usually like that it’s just because I was drinking that night.” I didn’t even ask or anything and she was explaining herself right away, then she got super quiet she’s an extrovert, so I thought she thought I was weird, then I found out months later without ever seeing her again that she liked me.",0,"2026-05-01T17:27:03Z"
"UgxsDFu6tF9HbLDzzhx4AaABAg","@OLCtv","Oh u realize it when people tell u and when relationships change",0,"2026-05-01T17:04:47Z"
"UgznPIAVNurMFf_PF594AaABAg","@larry6601","F'ing AI slop.",0,"2026-05-01T16:27:49Z"
"UgziBG6PWcBohmYic7t4AaABAg","@R3XGAM1NG","It's called discernment... ifykyk",0,"2026-05-01T15:56:17Z"
"UgxL2rKidsFNA8rWk-p4AaABAg","@klo433","just described an INFJ",0,"2026-05-01T15:54:15Z"
"UgzxhD4R-_jqaa8fnhZ4AaABAg","@THEEEHIPPPY","In 2026 words its called aura some got it some dont",0,"2026-05-01T15:33:01Z"
"Ugz_HHU3uNbPyX-Gze14AaABAg","@PrinceAceMusic","Story of my life, summed up in 3 minutes and 50 seconds",0,"2026-05-01T15:16:00Z"
"UgxOi6ACO9AjYgAEeDF4AaABAg","@antegotovina4952","Older I get, less and less people in the friend circle. Family is all that matters.",0,"2026-05-01T14:57:32Z"
"UgyOnvoUKjJbNzmX_5l4AaABAg","@coleoshtamebaghe3606","I feel this describes me. A natural introvert who senses other people's emotions almost immediately. It often feels more like a curse than a gift. I value authenticity above all else, and hate superficial people.",0,"2026-05-01T14:16:49Z"
"Ugz6PsNeP7uDDMvj5hx4AaABAg","@location_florida","Forgot to pretend lol, I never pretend to begin with",0,"2026-05-01T13:01:59Z"
"Ugz-iS9HWkLcPpHea-l4AaABAg","@location_florida","Silence is the BEST",0,"2026-05-01T12:59:33Z"
"UgziP16CEA1Hc-0sP6B4AaABAg","@Agarring_Dutch","Oh no... i feel very called out here. 😅",0,"2026-05-01T11:34:45Z"
"UgwCowZEF_KhXZJOqPR4AaABAg","@OfwGlobalStories","💓",0,"2026-05-01T11:03:23Z"
"Ugy7IIgcr5tQHvDrdgJ4AaABAg","@markshamp6399","I don't put up with peoples bragging about themselves, and bullshit lies. Amen thank you Lord for the strength ❤😂😅😊❤️🤣😂😀😅👆🙏🇺🇸❤️",1,"2026-05-01T09:16:25Z"
"Ugz7mIWZp_9pmkFhAnh4AaABAg","@tehokihuarahiannderson5885","All 7 of them is exactly who I am.",0,"2026-05-01T08:35:06Z"
"UgzK36voSon5DZeGLhJ4AaABAg","@ledgaming6489","This also shows that most people are just weak",0,"2026-05-01T07:45:53Z"
"UgyjHrUcCBVu0n22P_h4AaABAg","@FinanceStoryline-k5y","Sometimes people aren't intimidated by you—they're just tired of dealing with someone who confuses confidence with coldness.",0,"2026-05-01T06:27:06Z"
"UgyF25f5nO6Wv9SWs-N4AaABAg","@I-have-no-name-p1y","Lol you wouldn't know intimidation if it smacked you in the face. How are you going to tell people what's intimidating?",0,"2026-05-01T06:13:45Z"
"Ugwf935Ddko-Rrrz0vh4AaABAg","@Ebenaezerkalang","what",0,"2026-05-01T05:34:39Z"
"Ugx4LjkuSavWIOLVinp4AaABAg","@BrianM-44041","You learn a lot more listening to and watching people than you can talking. My father taught me that. When someone is silent a lot it means more when they do choose to speak up on something.",0,"2026-05-01T05:34:38Z"
